순위,제목,아티스트,앨범,이미지
46,취중고백,김민석 (멜로망스),취중고백,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/443/459/82443459_1639718817315_1_140x140.JPG/dims/resize/Q_80,0"
47,NewJeans 1st EP 'New Jeans',NewJeans,NewJeans 1st EP 'New Jeans',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/842/800/82842800_1659340238924_1_140x140.JPG/dims/resize/Q_80,0"
48,스트릿 우먼 파이터2 (SWF2) 계급미션,Crush,스트릿 우먼 파이터2 (SWF2) 계급미션,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/193/518/84193518_1693904065753_1_140x140.JPG/dims/resize/Q_80,0"
49,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/051/769/82051769_1621328428038_1_140x140.JPG/dims/resize/Q_80,0"
50,사랑인가 봐 (사내맞선 OST 스페셜 트랙),멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/540/759/82540759_1645152997958_1_140x140.JPG/dims/resize/Q_80,0"
51,KILL MY DOUBT,ITZY (있지),KILL MY DOUBT,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/005/648/84005648_1690787085522_1_140x140.JPG/dims/resize/Q_80,0"
52,Nine Track Mind (Deluxe Edition),Charlie Puth,Nine Track Mind (Deluxe Edition),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/673/272/80673272_1617265225691_1_140x140.JPG/dims/resize/Q_80,0"
53,NewJeans 'OMG',NewJeans,NewJeans 'OMG',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/325/577/83325577_1672649874616_1_140x140.JPG/dims/resize/Q_80,0"
54,NewJeans 2nd EP 'Get Up',NewJeans,NewJeans 2nd EP 'Get Up',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/019/740/84019740_1688692234715_1_140x140.JPG/dims/resize/Q_80,0"
55,ME,지수 (JISOO),ME,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/687/323/83687323_1680228994484_1_140x140.JPG/dims/resize/Q_80,0"
56,별에서 온 그대 OST Part.7 (SBS 수목드라마),성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/401/547/80401547_1392172764399_1_140x140.JPG/dims/resize/Q_80,0"
57,WSG워너비 1집,WSG워너비 (가야G),WSG워너비 1집,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/814/458/82814458_1657270030475_1_140x140.JPG/dims/resize/Q_80,0"
58,Teddy Bear,STAYC (스테이씨),Teddy Bear,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/506/719/83506719_1676363663803_1_140x140.JPG/dims/resize/Q_80,0"
59,전설,잔나비,전설,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/172/042/81172042_1552452730746_1_140x140.JPG/dims/resize/Q_80,0"
60,사랑의 바보,제이세라 (J-Cera),사랑의 바보,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/903/050/83903050_1686279583411_1_140x140.JPG/dims/resize/Q_80,0"
61,Dynamite (DayTime Ver.),방탄소년단,Dynamite (DayTime Ver.),"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/545/399/81545399_1600401677905_1_140x140.JPG/dims/resize/Q_80,0"
62,항해,AKMU (악뮤),항해,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/271/853/81271853_1569396403906_1_140x140.JPG/dims/resize/Q_80,0"
63,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/082/184/83082184_1665969939180_1_140x140.JPG/dims/resize/Q_80,0"
64,CHARLIE,Charlie Puth,CHARLIE,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/484/273/82484273_1665067200754_1_140x140.JPG/dims/resize/Q_80,0"
65,Every DAY6 February,DAY6 (데이식스),Every DAY6 February,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/919/666/80919666_1486113823984_1_140x140.JPG/dims/resize/Q_80,0"
66,SEVENTEEN 10th Mini Album 'FML',세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/762/577/83762577_1682297728199_1_140x140.JPG/dims/resize/Q_80,0"
67,When I Get Old,Christopher & 청하,When I Get Old,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/073/238/83073238_1665772282151_1_140x140.JPG/dims/resize/Q_80,0"
68,Stay,The Kid LAROI & Justin Bieber,Stay,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/130/513/82130513_1625722837604_1_140x140.JPG/dims/resize/Q_80,0"
69,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/684/144/83684144_1680242492859_1_140x140.JPG/dims/resize/Q_80,0"
70,스트릿 우먼 파이터2 (SWF2) 계급미션,미연 ((여자)아이들) & 우기 ((여자)아이들),스트릿 우먼 파이터2 (SWF2) 계급미션,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/193/518/84193518_1693904065753_1_140x140.JPG/dims/resize/Q_80,0"
71,부석순 1st Single Album 'SECOND WIND',부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/519/066/83519066_1675749482269_1_140x140.JPG/dims/resize/Q_80,0"
72,5.3,10CM,5.3,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/798/875/82798875_1656663217923_1_140x140.JPG/dims/resize/Q_80,0"
73,잠깐 시간 될까,이무진,잠깐 시간 될까,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/807/543/83807543_1683600166370_1_140x140.JPG/dims/resize/Q_80,0"
74,I NEVER DIE,(여자)아이들,I NEVER DIE,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/586/132/82586132_1647227017471_1_140x140.JPG/dims/resize/Q_80,0"
75,"Walkerverse, Pt. I",Alan Walker,"Walkerverse, Pt. I","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/202/82638202_1655369481808_1_140x140.JPG/dims/resize/Q_80,0"
76,나에게 그대만이,탑현,나에게 그대만이,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/902/576/83902576_1686288357417_1_140x140.JPG/dims/resize/Q_80,0"
77,미친 사랑의 노래,김연지 & DK (디셈버),미친 사랑의 노래,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/172/540/84172540_1692334976181_1_140x140.JPG/dims/resize/Q_80,0"
